,228_store_name,232_type_of_store,108_does_the_micro_retailer_has_a_barred_window_,99_does_the_micro_retailer_exhibits_products_outside_,102_does_the_micro_retailer_sells_fresh_products_,184_store_devices,5_change_store_space_last_year,6_change_employees_average_salary_last_year,20_reviews_finances_monthly,49_inventory_records,18_sales_records,155_sales_registers_used_for,19_tax_id,310_burnout,186_internet_connection,210_sales_channels,189_payment_methods,28_prefered_payment_method,31_different_prices_payment_method,271_card_fee,273_platform_extra_charge,274_platform_fee,275_platform_days_receive_money,30_payment_methods_large_purchases,214_customer_relationship_tools,33_credit_to_customers,35_interest_rate,193_sales_planning_tools,227_agreement_ecommerce_platforms,60_services,77_delivery_timeslots,79_delivery_vehicle,64_comission_services,69_why_not_services,311_topups,312_payment_of_utilities,313_home_deliveries,314_reception_delivery_packages,42_willingness_share_inventory_data_suppliers,44_willingness_inventory_management_suppliers,45_willingness_reorder_suppliers,46_willingness_reorder_suppliers_variety,47_willingness_reorder_suppliers_lower_prices,43_willingness_share_sales_data_suppliers,58_willingness_share_sales_data_mse,59_willingness_share_sales_data_mse_better_prices,185_place_orders_suppliers,53_special_conditions_suppliers,278_credit_interest,192_procurement_planning_tools,277_payment_method_suppliers,56_procurement_changes_pandemic,279_changes_procurement_pandemic,161_actions_stockouts,162_inventory_extra_space,163_number_high_perishable_products,249_technology_training,250_technology_investment_operations,251_technology_investment_customers,254_technology_roadmap,260_technology_scalable,261_technology_organization,262_technology_serve_customers,263_technology_secure_sales,264_technology_budget,267_technology_investment_customer_preferences,318_shopkeeper_name
87,Tu ropa en buenas manos,compostura de ropa,no,no,no,"Analog cash register,POS system (i.e. computer + bar code scanner + printer),Security cameras",No cambió,Aumentó 50% o más,yes,En Excel,En Excel,No los uso,yes,yes,yes,WhatsApp,"Efectivo,Tarjeta de débito y/o crédito",Tarjeta de débito y/o crédito,no,,,,,,Publicidad,yes,,Excel,,Ninguno,,,,"Es muy caro,No conozco los servicios,No creo que represente grandes ingresos",,,Totalmente en desacuerdo,,,,,,,,,,,,,,,,,Solicitar tiempo al cliente para conseguir el producto,,,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Arantza Mendez Juárez 
88,Cemitas Sandy,Micro-restaurant (aka. fondita),no,no,yes,"Analog cash register,Dataphone (i.e. card payments),Security cameras",No cambió,Aumentó 50% o más,yes,En Excel,En Excel,No los uso,yes,yes,yes,WhatsApp,"Efectivo,Tarjeta de débito y/o crédito",Tarjeta de débito y/o crédito,no,,,,,,Publicidad,yes,,Excel,,Ninguno,,,,"Es muy caro,No conozco los servicios,No creo que represente grandes ingresos",,,Totalmente en desacuerdo,,,,,,,,,,,,,,,,,Solicitar tiempo al cliente para conseguir el producto,,,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Arantza Mendez Juárez 
89,Tortillería Andrea,Tortillería ,no,no,yes,"Analog cash register,Security cameras",No cambió,Aumentó 50% o más,yes,En Excel,En Excel,No los uso,yes,yes,yes,WhatsApp,"Efectivo,Tarjeta de débito y/o crédito",Tarjeta de débito y/o crédito,no,,,,,,Publicidad,yes,,Excel,,Ninguno,,,,"Es muy caro,No conozco los servicios,No creo que represente grandes ingresos",,,Totalmente en desacuerdo,,,,,,,,,,,,,,,,,Solicitar tiempo al cliente para conseguir el producto,,,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Arantza Mendez Juárez 
90,Ricototes Tacototes,Micro-restaurant (aka. fondita),no,no,no,"Analog cash register,Dataphone (i.e. card payments)",No cambió,Aumentó 50% o más,yes,En Excel,En Excel,No los uso,yes,yes,yes,WhatsApp,"Efectivo,Tarjeta de débito y/o crédito",Tarjeta de débito y/o crédito,no,,,,,,Publicidad,yes,,Excel,,Ninguno,,,,"Es muy caro,No conozco los servicios,No creo que represente grandes ingresos",,,Totalmente en desacuerdo,,,,,,,,,,,,,,,,,Solicitar tiempo al cliente para conseguir el producto,,,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Arantza Mendez Juárez 
91,Recauderia La Huerta,Produce (fruits & vegetables),no,yes,yes,Analog cash register,No cambió,Aumentó 50% o más,yes,En Excel,En Excel,No los uso,yes,yes,yes,WhatsApp,"Efectivo,Tarjeta de débito y/o crédito",Tarjeta de débito y/o crédito,no,,,,,,Publicidad,yes,,Excel,,Ninguno,,,,"Es muy caro,No conozco los servicios,No creo que represente grandes ingresos",,,Totalmente en desacuerdo,,,,,,,,,,,,,,,,,Solicitar tiempo al cliente para conseguir el producto,,,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Arantza Mendez Juárez 
92,Carnicería Campos,Butcher shop,no,no,yes,"Analog cash register,Security cameras",No cambió,Aumentó 50% o más,yes,En Excel,En Excel,No los uso,yes,yes,yes,WhatsApp,"Efectivo,Tarjeta de débito y/o crédito",Tarjeta de débito y/o crédito,no,,,,,,Publicidad,yes,,Excel,,Ninguno,,,,"Es muy caro,No conozco los servicios,No creo que represente grandes ingresos",,,Totalmente en desacuerdo,,,,,,,,,,,,,,,,,Solicitar tiempo al cliente para conseguir el producto,,,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Arantza Mendez Juárez 
93,Cenita y Tacos El Ron,Micro-restaurant (aka. fondita),no,no,yes,"Analog cash register,Security cameras,Smartphone",No cambió,No cambió,no,"En Excel,En papel","En Excel,En papel",No los uso,yes,no,no,WhatsApp,Efectivo,Tarjeta de débito y/o crédito,no,,,,,,Publicidad,no,,Excel,yes,Ninguno,,,,Es muy caro,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,,,,,,,,Solicitar tiempo al cliente para conseguir el producto,,,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,Arantza Mendez Juárez 
94,Miscelanea López,Grocery store (aka. nanostore),no,no,yes,Analog cash register,No cambió,No cambió,no,No lo hago,No lo hago,No los uso,yes,yes,no,WhatsApp,Efectivo,Tarjeta de débito y/o crédito,no,,,,,,Ninguna,no,,Ninguna,no,Ninguno,,,,"No conozco los servicios,No quiero involucrarme con la tecnología",Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Algo en desacuerdo,Ni de acuerdo ni en desacuerdo,Algo de acuerdo,Algo en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Algo en desacuerdo,"En persona,Llamada telefónica",Ninguno,0,Ninguna,Efectivo,no,,Ofrecer un producto sustituto,0,0.0,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Ni de acuerdo ni en desacuerdo,En desacuerdo,En desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Arantza Mendez Juárez 
95,Panadería González,Panaderia,no,no,yes,"Analog cash register,Security cameras",No cambió,No cambió,no,No lo hago,No lo hago,No los uso,yes,yes,no,WhatsApp,Efectivo,Tarjeta de débito y/o crédito,no,,,,,,Ninguna,no,,Ninguna,,Ninguno,,,,"No conozco los servicios,No quiero involucrarme con la tecnología",,,Totalmente en desacuerdo,,,,,,,,,,,,,,,,,Ofrecer un producto sustituto,,,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Ni de acuerdo ni en desacuerdo,En desacuerdo,En desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Arantza Mendez Juárez 
96,Te invito a mi club,Micro-restaurant (aka. fondita),no,no,yes,acepta pagos en efectivo ,No cambió,No cambió,no,En papel,En papel,No los uso,yes,no,no,conocidos paquetes cerrados,Efectivo,Tarjeta de débito y/o crédito,no,,,,,,Cuaderno,no,,Ninguna,no,Ninguno,,,,Es muy caro,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,,,,,Efectivo,no,,Perder la venta,10%,,Totalmente en desacuerdo,De acuerdo,De acuerdo,En desacuerdo,De acuerdo,De acuerdo,De acuerdo,En desacuerdo,En desacuerdo,De acuerdo,Arantza Mendez Juárez 
97,Cenita y Tortas Puebla,Micro-restaurant (aka. fondita),no,no,yes,Analog cash register,No cambió,No cambió,no,En papel,En papel,No los uso,yes,no,no,conocidos paquetes cerrados,Efectivo,Tarjeta de débito y/o crédito,no,,,,,,Cuaderno,no,,Ninguna,,Ninguno,,,,Es muy caro,,,Totalmente en desacuerdo,,,,,,,,,,,,,,,,,Perder la venta,,,Totalmente en desacuerdo,De acuerdo,De acuerdo,En desacuerdo,De acuerdo,De acuerdo,De acuerdo,En desacuerdo,En desacuerdo,De acuerdo,Arantza Mendez Juárez 
98,Lavandería y Tintoreria,Lavandería ,no,no,no,Analog cash register,No cambió,No cambió,no,En papel,En papel,No los uso,yes,no,no,conocidos paquetes cerrados,Efectivo,Tarjeta de débito y/o crédito,no,,,,,,Cuaderno,no,,Ninguna,,Ninguno,,,,Es muy caro,,,Totalmente en desacuerdo,,,,,,,,,,,,,,,,,Perder la venta,,,Totalmente en desacuerdo,De acuerdo,De acuerdo,En desacuerdo,De acuerdo,De acuerdo,De acuerdo,En desacuerdo,En desacuerdo,De acuerdo,Arantza Mendez Juárez 
99,Dulceria la galleta,Grocery store (aka. nanostore),no,no,yes,Smartphone,No cambió,No cambió,no,No lo hago,No lo hago,No los uso,yes,no,no,conocidos paquetes cerrados,"Efectivo,Transferencia interbancaria",Tarjeta de débito y/o crédito,no,,,,,,Aplicación móvil,no,,Ninguna,,Ninguno,,,,Es muy caro,,,Totalmente en desacuerdo,,,,,,,,,,,,,,,,,Solicitar tiempo al cliente para conseguir el producto,,,Totalmente en desacuerdo,De acuerdo,De acuerdo,En desacuerdo,De acuerdo,De acuerdo,De acuerdo,En desacuerdo,En desacuerdo,De acuerdo,Arantza Mendez Juárez 
100,San martinito ,Tlapalería ,no,yes,no,"Security cameras,Smartphone",No cambió,No cambió,no,No lo hago,No lo hago,No los uso,yes,no,no,conocidos paquetes cerrados,"Efectivo,Transferencia interbancaria",Tarjeta de débito y/o crédito,no,,,,,,Aplicación móvil,no,,Ninguna,,Ninguno,,,,Es muy caro,,,Totalmente en desacuerdo,,,,,,,,,,,,,,,,,Solicitar tiempo al cliente para conseguir el producto,,,Totalmente en desacuerdo,De acuerdo,De acuerdo,En desacuerdo,De acuerdo,De acuerdo,De acuerdo,En desacuerdo,En desacuerdo,De acuerdo,Arantza Mendez Juárez 
101,Miscelánea Florecer,Grocery store (aka. nanostore),no,no,yes,Smartphone,No cambió,No cambió,no,No lo hago,No lo hago,No los uso,yes,no,no,conocidos paquetes cerrados,"Efectivo,Transferencia interbancaria",Tarjeta de débito y/o crédito,no,,,,,,Aplicación móvil,no,,Ninguna,,Ninguno,,,,Es muy caro,,,Totalmente en desacuerdo,,,,,,,,,,,,,,,,,Solicitar tiempo al cliente para conseguir el producto,,,Totalmente en desacuerdo,De acuerdo,De acuerdo,En desacuerdo,De acuerdo,De acuerdo,De acuerdo,En desacuerdo,En desacuerdo,De acuerdo,Arantza Mendez Juárez 
102,El Bambino,Dairy products,no,no,yes,POS system (i.e. computer + bar code scanner + printer),No cambió,No cambió,no,No lo hago,No lo hago,No los uso,yes,no,no,conocidos paquetes cerrados,"Efectivo,Transferencia interbancaria",Tarjeta de débito y/o crédito,no,,,,,,Aplicación móvil,no,,Ninguna,,Ninguno,,,,Es muy caro,,,Totalmente en desacuerdo,,,,,,,,,,,,,,,,,Solicitar tiempo al cliente para conseguir el producto,,,Totalmente en desacuerdo,De acuerdo,De acuerdo,En desacuerdo,De acuerdo,De acuerdo,De acuerdo,En desacuerdo,En desacuerdo,De acuerdo,Arantza Mendez Juárez 
103,Rumeech,Tienda de Ropa,no,yes,no,POS system (i.e. computer + bar code scanner + printer),No cambió,No cambió,yes,En Excel,En Excel,No los uso,yes,yes,yes,"Página web propia,Redes sociales (e.g. Facebook, Instagram),WhatsApp","Efectivo,Transferencia interbancaria",Tarjeta de débito y/o crédito,no,,,,,,Aplicación móvil,no,,Ninguna,,Ninguno,,,,Es muy caro,,,Algo de acuerdo,,,,,,,,,,,,,,,,,Solicitar tiempo al cliente para conseguir el producto,,,Totalmente en desacuerdo,De acuerdo,De acuerdo,En desacuerdo,De acuerdo,De acuerdo,De acuerdo,En desacuerdo,En desacuerdo,De acuerdo,Arantza Mendez Juárez 
104,Lavanderia y secado de ropa,Lavanderia,no,no,no,Smartphone,No cambió,No cambió,yes,En Excel,En Excel,No los uso,yes,yes,yes,"Página web propia,Redes sociales (e.g. Facebook, Instagram),WhatsApp","Efectivo,Transferencia interbancaria",Tarjeta de débito y/o crédito,no,,,,,,Aplicación móvil,no,,Ninguna,,Ninguno,,,,Es muy caro,,,Algo de acuerdo,,,,,,,,,,,,,,,,,Solicitar tiempo al cliente para conseguir el producto,,,Totalmente en desacuerdo,De acuerdo,De acuerdo,En desacuerdo,De acuerdo,De acuerdo,De acuerdo,En desacuerdo,En desacuerdo,De acuerdo,Arantza Mendez Juárez 
105,Farmacia y perfumeria,Grocery store (aka. nanostore),no,yes,no,POS system (i.e. computer + bar code scanner + printer),Aumentó 50% o más,No cambió,yes,Software especializado + computadora,Software especializado + computadora,No los uso,yes,no,yes,"Página web propia,Redes sociales (e.g. Facebook, Instagram),WhatsApp",Efectivo,Tarjeta de débito y/o crédito,no,,,,,,Ninguna,no,,Software especializado,no,"Entrega a domicilio,Pago de servicios públicos (e.g. Yastas),Recarga telefónica,Recepción y entrega de paquetes (e.g. Amazon, Mercado Libre)",,,4%,Es muy caro,,,Algo de acuerdo,,Totalmente en desacuerdo,Algo de acuerdo,Algo de acuerdo,,,,,,,,,,,,,Solicitar tiempo al cliente para conseguir el producto,,,Totalmente en desacuerdo,De acuerdo,De acuerdo,En desacuerdo,De acuerdo,De acuerdo,De acuerdo,En desacuerdo,En desacuerdo,De acuerdo,Arantza Mendez Juárez 
106,Miscelánea ,Grocery store (aka. nanostore),no,no,yes,Smartphone,Disminuyó 15%,No hay empleándosela ,yes,En papel,En papel,No los uso,no,yes,no,Solo físico ,Efectivo,Tarjeta de débito y/o crédito,no,,,,,,Ninguna,no,,Cuaderno,no,Ninguno,,,,No conozco los servicios,Totalmente de acuerdo,Algo de acuerdo,Algo de acuerdo,Totalmente en desacuerdo,Algo en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,,Ni de acuerdo ni en desacuerdo,Totalmente en desacuerdo,Sistema especializado del proveedor (e.g. VMS),Promociones,0,Cuaderno,Efectivo,no,,Solicitar tiempo al cliente para conseguir el producto,0,6.0,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Ni de acuerdo ni en desacuerdo,En desacuerdo,Totalmente de acuerdo,Arantza Mendez Juárez 
107,Freliz,Tienda de ropa,no,yes,no,Nothing ,No cambió,No cambió,no,En Excel,En Excel,No los uso,yes,no,no,"Redes sociales (e.g. Facebook, Instagram),WhatsApp",Efectivo,Tarjeta de débito y/o crédito,no,,,,,,Redes sociales,no,,Ninguna,no,Ninguno,,,,Se vende ropa,Totalmente de acuerdo,Totalmente en desacuerdo,Totalmente de acuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente de acuerdo,Compra directa,,0,Compra directa,Efectivo,no,,"Ofrecer un producto sustituto,Solicitar tiempo al cliente para conseguir el producto",0,0.0,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Ni de acuerdo ni en desacuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,De acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Maria Antonia
108,La cremería,Grocery store (aka. nanostore),yes,no,yes,"Dataphone (i.e. card payments),Security cameras,Smartphone",No cambió,No cambió,yes,En papel,En papel,No los uso,no,no,yes,"Redes sociales (e.g. Facebook, Instagram),WhatsApp","Efectivo,Tarjeta de débito y/o crédito",Tarjeta de débito y/o crédito,no,,,,,,Cuaderno,yes,no,Cuaderno,no,Recarga telefónica,,,2%,Se vende ropa,,Totalmente en desacuerdo,Totalmente de acuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Algo de acuerdo,Algo de acuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,En persona,Consignación,0,Cuaderno,Efectivo,no,,Ofrecer un producto sustituto,50% +,22.0,Totalmente de acuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Maria Antonia
109,Vinos y Licores Lucy ,Grocery store (aka. nanostore),yes,yes,no,Smartphone,No cambió,No cambió,yes,En papel,En papel,No los uso,no,no,yes,"Redes sociales (e.g. Facebook, Instagram),WhatsApp","Efectivo,Tarjeta de débito y/o crédito",Tarjeta de débito y/o crédito,no,,,,,,Cuaderno,yes,,Cuaderno,,Recarga telefónica,,,,Se vende ropa,,,Totalmente de acuerdo,,,,,,,,,,,,,,,,,Ofrecer un producto sustituto,,,Totalmente de acuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Maria Antonia
110,Casa de los dulces ,Grocery store (aka. nanostore),no,no,no,"Analog cash register,Dataphone (i.e. card payments),Smartphone",No cambió,No cambió,yes,En papel,En papel,No los uso,no,no,yes,"Redes sociales (e.g. Facebook, Instagram),WhatsApp","Efectivo,Tarjeta de débito y/o crédito",Tarjeta de débito y/o crédito,no,,,,,,Cuaderno,yes,,Cuaderno,,Recarga telefónica,,,,Se vende ropa,,,Totalmente de acuerdo,,,,,,,,,,,,,,,,,Ofrecer un producto sustituto,,,Totalmente de acuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Maria Antonia
111,Alondra,Dairy products,yes,yes,no,Smartphone,No cambió,No cambió,yes,En papel,En papel,No los uso,no,no,yes,"Redes sociales (e.g. Facebook, Instagram),WhatsApp","Efectivo,Tarjeta de débito y/o crédito",Tarjeta de débito y/o crédito,no,,,,,,Cuaderno,yes,,Cuaderno,,Recarga telefónica,,,,Se vende ropa,,,Totalmente de acuerdo,,,,,,,,,,,,,,,,,Ofrecer un producto sustituto,,,Totalmente de acuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Maria Antonia
112,Súper Panadería Mickey ,Bread ,no,yes,no,Smartphone,No cambió,No cambió,yes,En papel,En papel,No los uso,no,no,yes,"Redes sociales (e.g. Facebook, Instagram),WhatsApp","Efectivo,Tarjeta de débito y/o crédito",Tarjeta de débito y/o crédito,no,,,,,,Cuaderno,yes,,Cuaderno,,Recarga telefónica,,,,Se vende ropa,,,Totalmente de acuerdo,,,,,,,,,,,,,,,,,Ofrecer un producto sustituto,,,Totalmente de acuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Maria Antonia
113,El Antojo,Cafeteria,no,no,no,Analog cash register,No cambió,No cambió,yes,En papel,En papel,No los uso,no,yes,no,"Llamada a Teléfono fijo,Redes sociales (e.g. Facebook, Instagram),WhatsApp",Efectivo,Tarjeta de débito y/o crédito,no,,,,,,Redes sociales,no,,Ninguna,no,"Pago de servicios públicos (e.g. Yastas),Recarga telefónica",,,,Se vende ropa,,,Algo de acuerdo,Algo de acuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,En persona,Descuento por compras anticipadas,,Ninguna,Efectivo,no,,Ofrecer un producto sustituto,0,20.0,Totalmente de acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Guillermo Carlos
114,Leydi Goo,Estética ,no,no,no,"POS system (i.e. computer + bar code scanner + printer),Smartphone",No cambió,No cambió,yes,En papel,En papel,No los uso,no,yes,no,"Llamada a Teléfono fijo,Redes sociales (e.g. Facebook, Instagram),WhatsApp",Efectivo,Tarjeta de débito y/o crédito,no,,,,,,Redes sociales,no,,Ninguna,,"Pago de servicios públicos (e.g. Yastas),Recarga telefónica",,,,Se vende ropa,,,Algo de acuerdo,,,,,,,,,,,,,,,,,Ofrecer un producto sustituto,,,Totalmente de acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Guillermo Carlos
115,Kanaleon!,Butcher shop,no,no,yes,Smartphone,No cambió,No cambió,yes,En papel,En papel,No los uso,no,yes,no,"Llamada a Teléfono fijo,Redes sociales (e.g. Facebook, Instagram),WhatsApp",Efectivo,Tarjeta de débito y/o crédito,no,,,,,,Redes sociales,no,,Ninguna,,"Pago de servicios públicos (e.g. Yastas),Recarga telefónica",,,,Se vende ropa,,,Algo de acuerdo,,,,,,,,,,,,,,,,,Ofrecer un producto sustituto,,,Totalmente de acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Guillermo Carlos
116,Frutería Las Maravillas ,Produce (fruits & vegetables),no,yes,yes,Smartphone,No cambió,No cambió,yes,En papel,En papel,No los uso,no,yes,no,"Llamada a Teléfono fijo,Redes sociales (e.g. Facebook, Instagram),WhatsApp",Efectivo,Tarjeta de débito y/o crédito,no,,,,,,Redes sociales,no,,Ninguna,,"Pago de servicios públicos (e.g. Yastas),Recarga telefónica",,,,Se vende ropa,,,Algo de acuerdo,,,,,,,,,,,,,,,,,Ofrecer un producto sustituto,,,Totalmente de acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Guillermo Carlos
117,Todo Marravillas,limpieza,no,yes,no,POS system (i.e. computer + bar code scanner + printer),No cambió,No cambió,yes,Software especializado + computadora,Software especializado + computadora,No los uso,no,no,yes,"Llamada a Teléfono fijo,Redes sociales (e.g. Facebook, Instagram),WhatsApp","Efectivo,Tarjeta de débito y/o crédito,Transferencia interbancaria",Tarjeta de débito y/o crédito,no,,,,,,Redes sociales,no,,Ninguna,,"Pago de servicios públicos (e.g. Yastas),Recarga telefónica",,,,Se vende ropa,,,Algo de acuerdo,,,,,,,,,,,,,,,,,Ofrecer un producto sustituto,10%,,Totalmente de acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Guillermo Carlos
118,Súper 45,Dairy products,no,no,yes,"Analog cash register,POS system (i.e. computer + bar code scanner + printer),Security cameras",No cambió,Aumentó 15%,yes,Software especializado + computadora,Software especializado + computadora,No los uso,yes,no,yes,Llamada a Teléfono fijo,"Efectivo,Tarjeta de débito y/o crédito",Tarjeta de débito y/o crédito,no,,,,,,Ninguna,no,,Ninguna,no,Recarga telefónica,,,1%,Se vende ropa,,Algo de acuerdo,Totalmente de acuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,,,,,Totalmente en desacuerdo,Totalmente en desacuerdo,"En persona,Página web del proveedor","Consignación,Crédito,Descuento por compras anticipadas,Recompra",0,Ninguna,Efectivo,no,,"Ofrecer un producto sustituto,Solicitar tiempo al cliente para conseguir el producto",0,30.0,Totalmente de acuerdo,De acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Guillermo Carlos
119,Súper Bendito Hermanos,Dairy products,yes,no,yes,Analog cash register,No cambió,No cambió,yes,Software especializado + computadora,Software especializado + computadora,No los uso,yes,yes,yes,"Aplicación móvil (e.g. Rappi, Uber Eats),Llamada a Teléfono celular,Llamada a Teléfono fijo,Redes sociales (e.g. Facebook, Instagram)","Efectivo,Tarjeta de débito y/o crédito",Tarjeta de débito y/o crédito,no,,,,,,Redes sociales,no,,Ninguna,yes,"Entrega a domicilio,Pago de servicios públicos (e.g. Yastas),Recarga telefónica",,,5%,Se vende ropa,,,Totalmente de acuerdo,Totalmente de acuerdo,Algo de acuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Ni de acuerdo ni en desacuerdo,"En persona,Llamada telefónica","Consignación,Crédito,Descuento por compras anticipadas,Recompra",3-5%,Ninguna,"Efectivo,Transferencia interbancaria",no,,Solicitar tiempo al cliente para conseguir el producto,40%,30.0,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Guillermo Carlos
